id,area,dificultad,tiempo
1,Leyes,Baja,75
1,Leyes,Media,95
1,Leyes,Alta,96
2,Economía,Baja,91
2,Economía,Media,79
2,Economía,Alta,84
3,Economía,Baja,82
3,Economía,Media,95
3,Economía,Alta,97
4,Química,Baja,97
4,Química,Media,80
4,Química,Alta,86
5,Arquitectura,Baja,91
5,Arquitectura,Media,96
5,Arquitectura,Alta,87
6,Música,Baja,71
6,Música,Media,85
6,Música,Alta,86
7,Psicología,Baja,81
7,Psicología,Media,81
7,Psicología,Alta,95
8,Física,Baja,93
8,Física,Media,100
8,Física,Alta,106
9,Química,Baja,91
9,Química,Media,100
9,Química,Alta,79
10,Psicología,Baja,80
10,Psicología,Media,77
10,Psicología,Alta,82
11,Psicología,Baja,88
11,Psicología,Media,83
11,Psicología,Alta,82
12,Psicología,Baja,85
12,Psicología,Media,80
12,Psicología,Alta,90
13,Psicología,Baja,87
13,Psicología,Media,89
13,Psicología,Alta,84
14,Música,Baja,80
14,Música,Media,76
14,Música,Alta,102
15,Arquitectura,Baja,94
15,Arquitectura,Media,95
15,Arquitectura,Alta,93
16,Química,Baja,68
16,Química,Media,83
16,Química,Alta,71
17,Matemáticas,Baja,93
17,Matemáticas,Media,97
17,Matemáticas,Alta,92
18,Arquitectura,Baja,96
18,Arquitectura,Media,93
18,Arquitectura,Alta,104
19,Leyes,Baja,80
19,Leyes,Media,92
19,Leyes,Alta,72
20,Computación,Baja,85
20,Computación,Media,83
20,Computación,Alta,105
21,Literatura,Baja,89
21,Literatura,Media,82
21,Literatura,Alta,84
22,Psicología,Baja,87
22,Psicología,Media,104
22,Psicología,Alta,94
23,Arquitectura,Baja,94
23,Arquitectura,Media,88
23,Arquitectura,Alta,105
24,Matemáticas,Baja,67
24,Matemáticas,Media,95
24,Matemáticas,Alta,91
25,Psicología,Baja,89
25,Psicología,Media,92
25,Psicología,Alta,106
26,Computación,Baja,94
26,Computación,Media,88
26,Computación,Alta,97
27,Biología,Baja,90
27,Biología,Media,82
27,Biología,Alta,96
28,Biología,Baja,78
28,Biología,Media,86
28,Biología,Alta,95
29,Biología,Baja,84
29,Biología,Media,88
29,Biología,Alta,89
30,Economía,Baja,88
30,Economía,Media,94
30,Economía,Alta,83
31,Física,Baja,86
31,Física,Media,76
31,Física,Alta,87
32,Física,Baja,94
32,Física,Media,86
32,Física,Alta,102
33,Física,Baja,96
33,Física,Media,84
33,Física,Alta,100
34,Arquitectura,Baja,99
34,Arquitectura,Media,91
34,Arquitectura,Alta,102
35,Psicología,Baja,97
35,Psicología,Media,83
35,Psicología,Alta,84
36,Química,Baja,87
36,Química,Media,82
36,Química,Alta,104
37,Computación,Baja,89
37,Computación,Media,94
37,Computación,Alta,100
38,Química,Baja,86
38,Química,Media,101
38,Química,Alta,96
39,Psicología,Baja,83
39,Psicología,Media,96
39,Psicología,Alta,89
40,Matemáticas,Baja,81
40,Matemáticas,Media,87
40,Matemáticas,Alta,90
41,Computación,Baja,97
41,Computación,Media,88
41,Computación,Alta,92
42,Química,Baja,82
42,Química,Media,81
42,Química,Alta,90
43,Computación,Baja,91
43,Computación,Media,91
43,Computación,Alta,98
44,Física,Baja,89
44,Física,Media,72
44,Física,Alta,95
45,Matemáticas,Baja,75
45,Matemáticas,Media,94
