"instancia","n.nodos","n.aristas","tiempo.A","tiempo.B","tiempo.C","mejor.A","mejor.B","mejor.C"
1,50,631,107534,452595,257485,98.72,98.25,99.34
2,50,521,74808,364061,207297,98.99,99.17,99.48
3,50,588,94072,417798,237793,99.1,99.23,99.1
4,50,653,114830,470701,267598,98.69,99.23,97.82
5,50,597,96720,425233,241770,99.8,99.22,98.14
6,50,564,86688,398448,226833,99.19,99.15,98.04
7,50,684,125645,496118,282077,99.45,98.58,99.22
8,50,626,105982,448861,255243,99.79,97.95,99.22
9,50,699,131095,508673,289004,99.19,97.79,98.43
10,50,549,82600,386569,220067,99.39,99.12,99.04
11,50,617,103256,441449,251210,99.11,99.02,98.99
12,50,656,116088,473179,269176,99.55,98.14,99.39
13,50,697,130293,507011,288065,98.75,97.87,99
14,50,593,95588,421852,240140,99.78,97.7,99.88
15,50,595,96180,423517,241141,99.51,99.51,99.62
16,50,633,108369,454555,258372,99.64,98.11,98.3
17,50,650,113916,468503,266402,99.77,98.43,99.11
18,50,646,112619,465122,264473,98.71,98.35,99.32
19,50,549,82760,386654,220188,99.86,99.03,98.85
20,50,683,125431,495472,281613,99.55,99.35,99.67
21,60,918,221955,692702,393014,98.58,98.09,98.98
22,60,802,170917,594740,337776,98.76,99.65,99.79
23,60,1017,270976,777723,441060,99.12,97.41,98.58
24,60,978,251386,744194,421965,99.75,98.53,99.49
25,60,941,233140,712329,404008,98.61,98.96,99.28
26,60,975,249766,741721,420529,98.22,96.94,98
27,60,882,205476,662190,375681,99.06,98.02,98.26
28,60,844,188704,629774,357554,99.35,97.13,99.18
29,60,806,172376,598118,339300,99.47,97.96,97.61
30,60,808,173400,599805,340547,98.23,97.49,98.04
31,60,990,257457,754644,428029,98.77,98.11,98.36
32,60,859,195223,642560,364848,98.43,99.23,98.94
33,60,774,159655,571154,324657,98.8,97.86,99.04
34,60,791,166490,585395,332518,99.32,97.03,99.01
35,60,850,191555,635286,360591,99.2,98.77,99.47
36,60,981,252876,746743,423598,98.65,97.25,98.92
37,60,975,249708,741680,420598,98.04,97.91,98.61
38,60,949,236942,719512,407963,98.93,97.21,98.29
39,60,1015,270060,776426,440253,98.78,96.98,98.98
